# Source: https://www.pixelpharma.be/files/eigen-tekst-documenten/Lijst%20van%20Geneesmiddelen%20en%20medische%20hulpmiddelen.pdf
# Columns: cnk<TAB>name
4177531	Alimta (Abacus) inf. oploss. conc. (pdr.) i.v. [flac.] 1x 500mg
3404001	Minoxidil Biorga cut. oploss. 1x60ml 20mg/1ml
3919230	Epclusa (Abacus) 400/100 filmomh. tabl. 28x
3872728	Nexavar (Abacus) filmomh. tabl. 112x 200mg
3872744	Tarceva (Abacus) filmomh. tabl. 30x 150mg
3919321	Vosevi (Abacus) 400/100/100 filmomh. tabl. 28x
3666245	Imnovid (Abacus) harde caps. 21x 4mg
1222363	Duoderm Hydrogel gel 10x15g
3320116	Keytruda (Abacus) inf. oploss. conc. (pdr.) i.v. [flac.] 1x 50mg
889063	Ultra-Mg oploss. (pdr., zakjes) 40x 3g
450270	Vitamine B12 Sterop inj./drinkb. oploss. i.m./i.v./s.c./or. [amp.] 3x 1mg/1ml
3214400	Lysomucil tabl. 30x 600mg
3521143	Nicorette oromuc. spray oploss. Fruit & Mint 1x150dos. 1mg/1dos.
3621158	Emend susp. (pdr.) 1x 125mg
3678414	Cresemba inf. oploss. conc. (pdr.) i.v. [flac.] 1x 200mg
88310	Thermo Cream 7,2/57,5/57,5 crème 40g
36632	Duphalac 667 mg/1 ml siroop oploss. 300ml 3,33g/5ml
1541523	Duphalac 667 mg/1 ml siroop oploss. 1000ml 3,33g/5ml
3718863	Prevymis filmomh. tabl. 28x 480mg
3786407	Bosulif filmomh. tabl. 28x 400mg
3813649	Onpattro inf. oploss. (conc.) i.v. [flac.] 1x 10mg/5ml
3878352	Procysbi harde maagsapresist. caps. 250x 75mg
3417904	Darzalex inf. oploss. (conc.) i.v. [flac.] 1x 400mg/20ml
3417912	Darzalex inf. oploss. (conc.) i.v. [flac.] 1x 100mg/5ml
82982	Spagulax M gran. 700g 3,5g/5g
3913027	Ibuprofen B. Braun inf. oploss. i.v. [flac.] 10x 400mg/100ml
3421484	Voriconazole Mylan inf. oploss. (pdr.) i.v. [flac.] 1x 200mg
3652013	Ninlaro harde caps. 3x 2,3mg
3440872	Paracetabs filmomh. tabl. (deelb.) Forte 10x 1g
3405297	Balsoclase Mucolyticum 5 % siroop oploss. (zonder suiker) 200ml 250mg/5ml
3946688	Aubeline harde caps. 45x 350mg
1386267	Floxapen inj./inf. oploss. (pdr.) i.m./i.v. [flac.] 10x 250mg
3946696	Aubeline harde caps. 150x 350mg
3028065	Cetirizine Teva filmomh. tabl. (deelb.) 100x 10mg
3028040	Cetirizine Teva filmomh. tabl. (deelb.) 20x 10mg
319442	Lysox oploss. (gran., zakjes) 30x 200mg
3433760	Farydak harde caps. 6x 20mg
3434719	Nicorette oromuc. spray oploss. Freshmint 2x150dos. 1mg/1dos.
3435997	Gemcitabine AB inf. oploss. (conc.) i.v. [flac.] 1x 200mg/5ml
3436003	Gemcitabine AB inf. oploss. (conc.) i.v. [flac.] 1x 2g/50ml
3436011	Gemcitabine AB inf. oploss. (conc.) i.v. [flac.] 1x 1g/25ml
3456647	Palonosetron Accord inj. oploss. i.v. [flac.] 1x 250µg/5ml
3451044	Uptravi filmomh. tabl. 60x 200µg
3452018	Jinarc 45/15 tabl. 1x (28+28)
3452026	Jinarc tabl. 28x 15mg
3466455	Otrivine Anti-Allergie nas. spray susp. 60dos. 50µg/1dos.
3459765	Movicol oploss. (zakjes) Unidose 20x25ml
3953841	Trazimera inf. oploss. conc. (pdr.) i.v. [flac.] 1x 420mg
3711660	Prohance 279,3 mg/1 ml inj. oploss. i.v. [voorgev. spuit] 1x 4,19g/15ml
74757	R Calm cut. emuls. 90g 20mg/1g
3479037	Epclusa 400/100 filmomh. tabl. 28x
3953940	Mektovi filmomh. tabl. 84x 15mg
3762028	Tartephedreel bucc./or. druppels oploss. 100ml
3953957	Braftovi harde caps. 42x 75mg
3491123	Docetaxel AB inf. oploss. (conc.) i.v. [flac.] 1x 160mg/8ml
3499415	Clamoxyl inj./inf. oploss. (pdr.+solv.) i.m./i.v. [flac.+amp.] 10x 1g
1586346	Norit tabl. 75x 250mg
3500188	Paracetamol Teva siroop susp. 85ml 200mg/5ml
106435	Clonazone cut. oploss. (tabl.) 60x 250mg
2248706	Celocurine inj./inf. oploss. i.v. [amp.] 10x 100mg/2ml
3699386	Atremia harde caps. 100x 0,5mg
3968344	Pangel gel 30g 100mg/1g
476275	Furacine zalf Soluble Dressing 30g 2mg/1g
3973542	Laseaxan zachte caps. 28x 80mg
108043	Delphi crème 30g 1mg/1g
3531555	Hospaq 5/0,5 cut. oploss. 250ml
