# Source: https://www.ensie.nl/medische-eponiemen
# Columns: slug<TAB>title
donders-glaucoom	Donders-glaucoom
donnan-evenwicht	Donnan-evenwicht
donovanosis	donovanosis
doppler-effect	doppler-effect
dorno-stralen	Dorno-stralen
dotteren	dotteren
douglas-abces	Douglas-abces
doyen-klem	Doyen-klem
doyne-choroiditis	Doyne-choroiditis
driehoek-van-bryant	driehoek van Bryant
driehoek-van-chauffard	driehoek van Chauffard
driehoek-van-codman	driehoek van Codman
driehoek-van-grocco-rauchfuss	driehoek van Grocco-Rauchfuss
driehoekjes-van-kiernan	driehoekjes van Kiernan
dubbele-toon-van-traube	dubbele toon van Traube
ductus-arteriosus-botalli	ductus arteriosus Botalli
ductus-blasii	ductus Blasii
ductus-cuvieri	ductus Cuvieri
ductus-gartneri	ductus Gartneri
ductus-rivini	ductus Rivini
ductus-venosus-arantii	ductus venosus Arantii
ductus-wirsungianus	ductus Wirsungianus
duehrsen-operatie	Dührsen-operatie
duffy-systeem	Duffy-systeem
dukes-classificatie	Dukes-classificatie
dupuytren-contractuur	Dupuytren-contractuur
duroziez-dubbelgeruis	Duroziez-dubbelgeruis
ebers-papyrus	Ebers papyrus
ebola-virus	Ebola-virus
echografie	echografie
echolalie	Echolalie
ehrlichs-diazoreactie	Ehrlichs diazoreactie
eilandjes-van-lubarsch	eilandjes van Lubarsch
einthovens-snaargalvanometer	Einthovens snaargalvanometer
eisenmenger-complex	Eisenmenger-complex
elektra-complex	Elektra-complex
elisa-s-methode	Elisa’s methode
emserzout	emserzout
endo-plaat	Endo-plaat
epstein-barr-virus	Epstein-Barr-virus
erb-verlamming	Erb-verlamming
erlenmeyerkolf	erlenmeyerkolf
erotomanie	erotomanie
erytrocytenmeter-van-pijper	erytrocytenmeter van Pijper
esbach-reagens	Esbach-reagens
escherichieae	Escherichieae
esculaapteken	esculaapteken
esmarchs-manchet	Esmarchs manchet
esser-plastiek	Esser-plastiek
ether	ether
euthanasie	euthanasie
ewing-sarcoom	Ewing-sarcoom
exogene-reactievormen-van-bonhoeffer	exogene reactievormen van Bonhoeffer
facies-hippocratica	facies hippocratica
facies-van-wells	facies van Wells
factor-van-castle	factor van Castle
fahrenheit	Fahrenheit
falstaff-snurken	Falstaff-snurken
faradiseren-faradisatie	faradiseren, faradisatie
fasciculus-rolandi	fasciculus Rolandi
fehling-reagens	Fehling-reagens
fenomeen-van-houssay	fenomeen van Houssay
fenwick-ulcus	Fenwick-ulcus
fergusson-speculum	Fergusson-speculum
fiedler-myocarditis	Fiedler-myocarditis
finsen-lamp	Finsen-lamp
fissura-cerebri-lateralis-sylvii	fissura cerebri lateralis Sylvii
fissura-glaseri	fissura Glaseri
fistel-van-eek	fistel van Eek
fitz-hugh-curtis-syndroom	Fitz-Hugh-Curtis-syndroom
fletcheren	fletcheren
flexner-bacil	Flexner-bacil
flint-geruis	Flint-geruis
foramen-monroi	foramen Monroi
foramen-retzii	foramen Retzii
foramen-van-luschka	foramen van Luschka
foramen-van-magendie	foramen van Magendie
foramen-vesalii	foramen Vesalii
foramen-winslowi	foramen Winslowi
foramina-thebesii	foramina Thebesii
forssman-antigeen	Forssman-antigeen
fothergill-neuralgie	Fothergill-neuralgie
fowlerse-ligging	Fowlerse ligging
fractuur-van-bennett	fractuur van Bennett
fractuur-van-malgaigne	fractuur van Malgaigne
francisella-tularensis	Francisella tularensis
franklin-brilleglas	Franklin-brilleglas
frei-test	Frei-test
freudiaans	freudiaans
friedlaender-bacillus	friedländer Bacillus
friedreich-ataxie	Friedreich-ataxie
fuchsia	Fuchsia
gaertner-bacil	Gärtner-bacil
gaillard-naad-gaillard-hechting	Gaillard-naad, Gaillard-hechting
galenica-galenische-middelen	galenica, galenische middelen
galton-fluitje	Galton-fluitje
galvanisatie	galvanisatie
gambrinisme	gambrinisme
gang-van-mueller	gang van Müller
gang-van-stensen	gang van Stensen
ganglion-gasseri	ganglion Gasseri
ganglion-van-ludwig	ganglion van Ludwig
geigerteller	geigerteller
giardiasis	giardiasis
giemsa-kleuring	Giemsa-kleuring
gierke-lichaampjes	Gierke-lichaampjes
glauberzout	glauberzout
glissonse-lis	glissonse lis
goemoeri-kleuring	Gömöri-kleuring
goldblatt-effect	Goldblatt-effect
golgi-netwerk	Golgi-netwerk
goormaghtigh-cellen	Goormaghtigh-cellen
goulardwater	goulardwater
graafse-follikel	Graafse follikel
graham-steell-geruis	Graham Steell geruis
grahambrood	grahambrood
gram-kleuring	Gram-kleuring
granulationes-pacchioni	granulationes Pacchioni
granulomatosis-van-wegener	granulomatosis van Wegener
grawitz-tumor	Grawitz-tumor
gross-virus	Gross-virus
guillotine-snede	guillotine-snede
gullstrand-oogspiegel	Gullstrand-oogspiegel
gumprechtse-cellen-gumprechtse-schollen	Gumprechtse cellen, Gumprechtse schollen
gunn-s-kruisingsverschijnsel	Gunn’s kruisingsverschijnsel
guyon-spuit	Guyon-spuit
haarlemmerolie	haarlemmerolie
haemophilus-ducreyi	Haemophilus ducreyi
hageman-factor	Hageman-factor
halsted-operatie	Halsted-operatie
ham-test	Ham-test
handgreep-van-bracht	handgreep van Bracht
handgreep-van-heiberg-esmarch	handgreep van Heiberg-Esmarch
handgreep-van-kuestner	handgreep van Küstner
handgreep-van-mauriceau	handgreep van Mauriceau
handgreep-van-ortolani	handgreep van Ortolani
handgreep-van-veit-smellie	handgreep van Veit-Smellie
handgreep-van-wigand	handgreep van Wigand
hargraves-cel	Hargraves-cel
harrison-groeve	Harrison-groeve
hartmann-operatie	Hartmann-operatie
hartmann-oplossing	Hartmann-oplossing
hartnup-ziekte	Hartnup-ziekte
hashimoto-thyreoiditis	Hashimoto-thyreoïditis
hassall-lichaampjes	Hassall-lichaampjes
haudekse-nis	Haudekse nis
haverhuel-koorts	Haverhül-koorts
haverse-kanalen	Haverse kanalen
head-zones	Head-zones
hebefrenie	hebefrenie
heberden-noduli	Heberden-noduli
hegar-dilatator	Hegar-dilatator
heimlich-handgreep	Heimlich-handgreep
heinz-lichaampjes	Heinz-lichaampjes
hela-cellen	HeLa-cellen
helmholtz-oogspiegel	Helmholtz-oogspiegel
hemeralopie	hemeralopie
hering-reflex	Hering-reflex
hermafrodiet	hermafrodiet
